60sec,Bid_Price_Open,Bid_Price_Close,Ask_Price_Open,Ask_Price_Close,Midprice_Open,Midprice_Close,Midprice_Average,Dmid_tick,Spread_tick,VolImb,Trades,Volume,Buy_Trades,Sell_Trades,TFI
137,2232800,2233900,2234000,2235400,2233400.0,2234650.0,2234450.516986706,12.5,15.905465288035451,0.19968951284312902,7,602,6,1,0.7142857142857143
138,2233900,2233300,2235400,2235000,2234650.0,2234150.0,2234344.3262411347,-5.0,14.656028368794326,0.2038978974407867,4,600,2,2,0.0
139,2233300,2234200,2235000,2235900,2234150.0,2235050.0,2234993.5929648243,9.0,16.50502512562814,0.23486653098383886,3,293,2,1,0.3333333333333333
140,2234200,2234200,2235900,2235800,2235050.0,2235000.0,2235381.421446384,-0.5,12.266832917705736,0.33968766764797415,3,71,2,1,0.3333333333333333
141,2234800,2235100,2235800,2236900,2235300.0,2236000.0,2235915.143603133,7.0,12.616187989556137,0.2566922313127265,9,654,4,5,-0.1111111111111111
142,2235100,2235200,2236900,2236600,2236000.0,2235900.0,2235787.5362318843,-1.0,13.968115942028986,0.3286689643966416,6,705,4,2,0.3333333333333333
143,2235200,2237800,2236600,2239100,2235900.0,2238450.0,2237386.3823227133,25.5,16.155190133607398,0.1167835089180357,18,725,11,7,0.2222222222222222
144,2237800,2238700,2239100,2239500,2238450.0,2239100.0,2239086.6028708136,6.5,14.519936204146731,0.12574844413616154,4,705,2,2,0.0
145,2238700,2236900,2239500,2238300,2239100.0,2237600.0,2238098.025551684,-15.0,13.073170731707316,0.1665755999541234,14,871,5,9,-0.2857142857142857
146,2236900,2238200,2238300,2239200,2237600.0,2238700.0,2237365.9242761694,11.0,14.469933184855234,0.20832306059499042,15,754,12,3,0.6
147,2238200,2238100,2239200,2239500,2238700.0,2238800.0,2238517.8333333335,1.0,12.023333333333333,0.19422764629882416,4,302,4,0,1.0
148,2238100,2238900,2239500,2240000,2238800.0,2239450.0,2239295.8742632614,6.5,14.361493123772101,0.07568334781149583,5,500,4,1,0.6
149,2238900,2237800,2240000,2238600,2239450.0,2238200.0,2239094.986807388,-12.5,9.493403693931398,0.09522233892842356,13,1000,2,11,-0.6923076923076923
150,2237800,2238300,2238600,2239500,2238200.0,2238900.0,2238373.076923077,7.0,9.964497041420119,-0.03837623536844854,10,686,6,4,0.2
151,2238200,2237500,2239500,2239100,2238850.0,2238300.0,2238237.5576036866,-5.5,13.657450076804915,0.08102141048774425,7,375,3,4,-0.14285714285714285
152,2237500,2237000,2239100,2238900,2238300.0,2237950.0,2238617.067833698,-3.5,14.166301969365426,0.1236278324428801,3,501,1,2,-0.3333333333333333
153,2237000,2235100,2238900,2236500,2237950.0,2235800.0,2236398.929663609,-21.5,15.581039755351682,0.17274365261938998,25,957,8,17,-0.36
154,2235100,2235600,2236500,2237200,2235800.0,2236400.0,2236464.8199445982,6.0,15.313019390581717,0.1272290794809544,5,305,2,3,-0.2
155,2235700,2233500,2237200,2235000,2236450.0,2234250.0,2235585.1063829786,-22.0,15.338788870703764,0.26599558253508393,9,1039,0,9,-1.0
156,2233500,2233400,2235000,2235200,2234250.0,2234300.0,2234341.060025543,0.5,16.471264367816094,0.2669384007426843,16,521,8,8,0.0
157,2233400,2234000,2235200,2236000,2234300.0,2235000.0,2234392.024539877,7.0,16.392638036809817,0.13117477378263365,4,200,4,0,1.0
158,2234000,2234800,2236000,2236700,2235000.0,2235750.0,2235763.137996219,7.5,17.3648393194707,0.035815161727749185,0,0,0,0,
159,2234900,2236100,2236700,2237300,2235800.0,2236700.0,2236839.7209985317,9.0,15.387665198237885,0.05830410690157446,13,550,8,5,0.23076923076923078
160,2236100,2237300,2237300,2238500,2236700.0,2237900.0,2237310.1226993864,12.0,13.714723926380367,0.048626520049156845,22,643,22,0,1.0
161,2237300,2237600,2238500,2239100,2237900.0,2238350.0,2237968.017366136,4.5,13.577424023154848,0.21651732226143483,2,42,2,0,1.0
162,2237600,2237000,2239100,2238700,2238350.0,2237850.0,2237803.846153846,-5.0,11.282051282051283,-0.004014978209005451,1,2,1,0,1.0
163,2237000,2237100,2238700,2237900,2237850.0,2237500.0,2237426.0256410255,-3.5,13.864102564102565,0.23264571906488993,1,31,0,1,-1.0
164,2237100,2235500,2238000,2237000,2237550.0,2236250.0,2236076.6666666665,-13.0,12.935802469135803,0.24456872373686844,22,1261,4,18,-0.6363636363636364
165,2235800,2233400,2237000,2235300,2236400.0,2234350.0,2235195.2536824876,-20.5,15.620294599018003,0.3064841409114887,4,310,0,4,-1.0
166,2233400,2233000,2235100,2234600,2234250.0,2233800.0,2233473.350253807,-4.5,15.538071065989847,0.1243541689782444,7,330,2,5,-0.42857142857142855
167,2233000,2235400,2234600,2236700,2233800.0,2236050.0,2234856.617647059,22.5,14.97549019607843,0.07512147598984927,5,120,5,0,1.0
168,2235400,2234000,2236700,2236000,2236050.0,2235000.0,2235440.2571041947,-10.5,15.481732070365359,0.33761864830784777,1,100,0,1,-1.0
169,2234000,2236800,2236000,2237300,2235000.0,2237050.0,2236077.314814815,20.5,11.578703703703704,0.2260125324903122,19,558,19,0,1.0
170,2236800,2236000,2237300,2237500,2237050.0,2236750.0,2236652.716049383,-3.0,11.51358024691358,0.37885828331153715,5,302,4,1,0.6
171,2236000,2233900,2237500,2235200,2236750.0,2234550.0,2235282.8331332533,-22.0,14.566626650660265,0.2523797378997753,6,318,1,5,-0.6666666666666666
172,2233800,2233500,2235200,2235300,2234500.0,2234400.0,2235144.6614583335,-1.0,12.002604166666666,0.24485733910267324,27,3891,7,20,-0.48148148148148145
173,2233500,2232800,2235300,2233900,2234400.0,2233350.0,2234189.4353369763,-10.5,12.73224043715847,0.03594786431704448,12,732,6,6,0.0
174,2232800,2227300,2233900,2228400,2233350.0,2227850.0,2230263.0546075087,-55.0,12.981228668941979,0.13812401619698292,63,4151,5,58,-0.8412698412698413
175,2227300,2222800,2228400,2223800,2227850.0,2223300.0,2226501.1025886866,-45.5,16.906040268456376,0.19065232712996202,111,5834,5,106,-0.9099099099099099
176,2222800,2221300,2223800,2222600,2223300.0,2221950.0,2222668.359375,-13.5,11.1109375,0.001097334986051005,43,3410,7,36,-0.6744186046511628
